,User-ID,ISBN,Book-Rating
188887,41646,0743457870,0
892754,215787,2277211974,0
297465,70415,0805036504,0
26912,6330,0140040021,0
733176,177233,044922368X,0
1027476,245963,0440173701,0
417610,99312,0917102959,8
1070135,255618,0553274325,0
986135,236948,0312083513,9
923123,224764,052594544X,0
283883,67775,037324472X,5
777034,188010,0434004863,8
343406,81848,0316569321,0
218292,51350,0380784491,7
1058199,252695,0553251910,7
138279,31315,0671465120,0
295030,69933,0061042005,0
713352,172742,1556611609,0
31727,7346,0375701044,0
263950,60707,055323370X,8
598330,144382,281153499,0
469884,112249,0918949246,0
550310,131883,0385504209,0
1015209,243089,0345301110,0
134563,30766,096788330X,9
676093,164533,0553377868,7
1080658,258521,0375708413,8
1064389,254465,0345455622,0
912123,222204,0451184963,8
302773,72287,0739414925,6
930535,225986,0140620168,9
766621,185233,0684866048,5
843225,204167,0843943858,0
295840,69986,0778320537,10
234141,54218,0373762127,0
585273,141323,097312010X,9
287500,68875,0553262505,0
206980,47680,0553213415,0
900214,217740,8427021275,6
58090,11676,8440622953,8
796042,192844,0140075623,0
719937,174259,3896671669,7
221548,51883,0515122416,0
365905,87746,1579540953,0
85033,17970,0425144429,0
284387,67840,0878337997,0
582515,140223,0671020609,4
46419,11676,0140290583,7
454722,109180,1895837693,0
441271,105672,0451126505,7
871627,210959,0345317580,0
302380,72169,8484507858,10
678049,165073,1841490423,8
866473,209516,0743228480,0
839081,203226,0586064826,9
970880,234623,0486293505,0
657607,159440,0451183266,0
1063482,254206,0671653741,10
1033328,246678,0946014027,0
46676,11676,0156012014,0
959936,231869,068484477X,10
228372,52744,0380794624,8
114969,26535,1583140131,0
865304,209317,0671504398,0
675529,164465,0307302970,7
491853,117437,0865476004,5
423821,101209,0399143696,0
577323,138844,0670894184,10
134738,30806,0316789089,0
436224,104429,0425167313,0
1018793,244277,0676972802,0
1034898,247268,0440170796,0
289161,69078,0805025340,7
85087,18004,0590466186,9
984009,236340,0061098795,0
1092564,262070,0486219712,6
11224,643,2253170372,8
1045087,249989,0515119644,0
128193,29779,0425133540,7
632794,153662,034544986X,0
695391,169677,0743230205,0
278071,65401,0385472951,0
957568,231237,0452281202,9
218669,51386,0373501749,0
357114,86076,0821776037,0
638654,153869,3499103281,0
1148232,276183,8422667967,5
65840,13552,0312971125,0
991939,238541,0060174714,0
775977,187747,156504844X,0
76996,16634,0517029626,10
977262,235105,083430080X,0
466426,111390,0451180232,7
846317,204864,0375704760,0
537793,129358,0671747150,0
37779,8936,0843948078,9
262875,60346,0747257833,10
184211,40466,0345377443,0
853574,206498,0671693816,0
427022,101876,0553279114,0
26148,6251,0451203895,0
1086302,259930,0061052515,0
610824,147847,0440200059,0
841932,203968,0140180923,0
647419,156342,0060988258,0
824021,198930,0411005012,0
869886,210485,0590411616,0
824962,199180,0752863916,9
964188,232945,0060086637,0
533709,128835,0553225413,0
915871,223190,0898620996,9
523938,127035,0060192356,0
608375,147141,1578564999,0
999582,240063,490590229200,0
512211,124310,0671027581,7
603742,145728,0151002991,0
508581,123790,0823040089,10
1144872,275305,0553208225,0
948586,229628,0590988492,5
423217,101007,0553560247,10
65927,13552,0380724731,0
146339,32773,0380710722,0
461414,110912,0070777098,0
128972,29915,0399149392,0
99353,23006,0312982909,0
898199,217271,0140441476,10
614656,148744,0394820371,0
527906,127384,0373702418,6
472926,113334,0425163865,7
25218,6092,0349103232,0
378227,91203,0747508186,9
269776,62755,0553572172,0
657683,159440,225300622X,0
985956,236901,0553380117,7
339876,81121,0679742190,7
689386,167800,082175128X,0
680981,165811,0782128629,0
937251,227377,0684874350,0
247693,56534,0380001411,9
475689,113913,0375700757,10
247088,56447,0590435086,0
352678,84831,3893315322,0
552416,132622,0345443241,0
1026502,245956,0061014591,0
285199,68156,1566473195,6
136716,31102,0441818145,0
141844,31826,0671758896,10
545168,130950,0684848783,8
1119312,268589,0141000198,0
372351,89276,0938410806,0
20890,4017,0609608738,10
847015,204864,0451169530,10
1040753,248854,2070492494,8
4761,278418,0307116824,0
50900,11676,0452279178,10
335673,79916,0875420087,8
715839,173415,0812504348,0
306344,73394,0380786206,0
674987,164206,8811584418,6
598372,144439,0788192043,0
329929,78783,0440207622,0
796834,193368,155936078X,7
1145275,275414,8845214451,10
1012107,242788,0446511528,9
638483,153797,0395924812,0
317132,76352,0380721228,0
996917,239175,0333654412,7
294724,69808,2246568919,0
559733,135045,0330491970,0
130507,30276,0373612737,0
171984,37400,0679723161,0
819937,198711,0553492837,0
575587,138441,1551668289,0
604849,146113,0515091715,0
315019,75951,0060809833,10
243215,55955,0192835122,7
1096047,262998,189957901X,8
263962,60707,0553281755,7
109029,25131,0553566032,0
397352,95525,0586026193,0
617741,149510,3518373234,7
25227,6092,0552144959,0
267630,61910,0515123471,0
951437,230522,0140159754,10
1104537,265115,0446604682,0
909332,221346,0312253826,7
41801,10660,0449224627,0
117776,26803,0821762818,0
242864,55892,069452008X,0
111651,25930,0807068195,10
274643,64015,0875421180,0
214407,50032,0446394521,0
390619,94347,0802135706,0
104450,23902,0553050354,10
53877,11676,0756400163,9
398566,95914,0486218260,7
1023186,245371,067081458X,0
161770,35859,070989068773,0
926051,225199,0553587188,0
1145873,275756,0877849277,0
768464,185384,0830812709,0
132475,30533,0312964250,0
663420,161037,0312981546,0
396654,95359,0688177743,7
106592,24462,8440616368,0
70491,14698,0307021653,6
839059,203213,0425143325,0
877114,212645,0505524031,0
849180,205383,0385496095,5
233569,54116,3455025013,9
488652,116398,8484509915,5
291218,69355,1566192536,0
374844,90082,0399146431,0
1071655,256167,0590411829,7
333482,79186,0060928336,0
246669,56447,0373034059,0
70050,14521,0727858602,0
978726,235392,0671737627,7
432279,102967,0671451405,6
421763,100846,0399144315,0
227165,52614,0345413881,0
309377,74026,0553571338,10
265018,61038,0440153778,5
421483,100815,0060928336,6
847478,204864,0679429220,10
1132897,271705,0345421434,0
678654,165253,0345417623,9
857435,207303,0140039589,0
485773,115490,0394736656,0
807329,196077,0877958165,0
385112,93047,0892720743,8
397866,95800,1590510666,6
963412,232486,0451205561,7
350748,84024,0061096105,0
230678,53220,0380794772,0
953137,230522,0590480146,0
762599,184401,0571198716,5
804590,195694,0425191273,0
987108,237175,0449240282,0
1095910,262998,0865713677,0
672935,163759,0373166133,5
927460,225597,0553282069,5
725202,175003,0743410181,0
866364,209516,0452283221,8
601413,145412,0679401032,8
145594,32627,0449216977,0
53374,11676,0710505140,5
309705,74172,2253151734,6
695972,169735,0552149675,3
298975,70866,3257227809,6
1135014,272786,0375403825,0
753051,182086,0373242808,10
983500,236283,0670813028,10
94174,21014,0842329129,0
446340,107021,0373764286,0
1040801,248922,0671510053,0
1025407,245827,0590442988,0
979950,235842,0425158616,0
993601,238711,0441010113,0
611995,147965,1551668254,0
471259,112881,0373898487,0
674752,164096,0603550622,0
95553,21364,092970133X,5
643060,155219,0688152449,7
316693,76352,0345317564,0
257977,59820,0345351738,0
821885,198711,0689834543,0
1116482,268022,1567183603,0
178781,38781,0449148610,10
589489,142256,0843922559,0
173466,37676,2207300056,7
1026189,245839,3794170199,0
99955,23288,0679812709,0
457513,110029,0099263491,0
993001,238613,0441005373,0
